id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
1809,CYMA,medium_airport,Mayo Airport,63.61640167236328,-135.8679962158203,1653.0,,CA,CA-YT,Mayo,no,CYMA,YMA,CYMA,,,https://en.wikipedia.org/wiki/Mayo_Airport,
1810,CYME,medium_airport,Matane Airport,48.85689926147461,-67.45330047607422,102.0,,CA,CA-QC,Matane,no,CYME,YME,CYME,,,https://en.wikipedia.org/wiki/Matane_Airport,
1811,CYMG,medium_airport,Manitouwadge Airport,49.08390045166016,-85.86060333251953,1198.0,,CA,CA-ON,Manitouwadge,no,CYMG,YMG,CYMG,,,https://en.wikipedia.org/wiki/Manitouwadge_Airport,
1813,CYMJ,medium_airport,Moose Jaw Air Vice Marshal C. M. McEwen Airport,50.330299377441406,-105.55899810791016,1892.0,,CA,CA-SK,Moose Jaw,no,CYMJ,YMJ,CYMJ,,,https://en.wikipedia.org/wiki/Moose_Jaw/Air_Vice_Marshal_C.M._McEwen_Airport,CFB Moose Jaw
1814,CYML,medium_airport,Charlevoix Airport,47.59749984741211,-70.2238998413086,977.0,,CA,CA-QC,Charlevoix,no,CYML,YML,CYML,,,https://en.wikipedia.org/wiki/Charlevoix_Airport,
1815,CYMM,medium_airport,Fort McMurray Airport,56.653301239,-111.222000122,1211.0,,CA,CA-AB,Fort McMurray,yes,CYMM,YMM,CYMM,,,https://en.wikipedia.org/wiki/Fort_McMurray_Airport,
1816,CYMO,medium_airport,Moosonee Airport,51.29109954833984,-80.60780334472656,30.0,,CA,CA-ON,Moosonee,yes,CYMO,YMO,CYMO,,,https://en.wikipedia.org/wiki/Moosonee_Airport,
1817,CYMT,medium_airport,Chapais Airport,49.77190017700195,-74.5280990600586,1270.0,,CA,CA-QC,Chibougamau,yes,CYMT,YMT,CYMT,,,https://en.wikipedia.org/wiki/Chibougamau/Chapais_Airport,
1820,CYMX,medium_airport,Montreal International (Mirabel) Airport,45.679501,-74.038696,270.0,,CA,CA-QC,Montréal,no,CYMX,YMX,CYMX,,,https://en.wikipedia.org/wiki/Montr%C3%A9al-Mirabel_International_Airport,YMQ
1822,CYNA,medium_airport,Natashquan Airport,50.190114,-61.78898,39.0,,CA,CA-QC,Natashquan,yes,CYNA,YNA,CYNA,,,https://en.wikipedia.org/wiki/Natashquan_Airport,
1824,CYND,medium_airport,Ottawa / Gatineau Airport,45.521702,-75.563599,211.0,,CA,CA-QC,Gatineau,yes,CYND,YND,CYND,CYND,http://www.ego-airport.ca/english/propos_ego/,https://en.wikipedia.org/wiki/Ottawa-Gatineau_Airport,YND
1827,CYNJ,medium_airport,Langley Airport,49.1008,-122.630997,34.0,,CA,CA-BC,Langley,no,CYNJ,YLY,CYNJ,,,https://en.wikipedia.org/wiki/Langley_Regional_Airport,YNJ
1828,CYNL,medium_airport,Points North Landing Airport,58.27669906616211,-104.08200073242188,1605.0,,CA,CA-SK,Points North Landing,yes,CYNL,YNL,CYNL,,,https://en.wikipedia.org/wiki/Points_North_Landing_Airport,
1829,CYNM,medium_airport,Matagami Airport,49.76169967651367,-77.80280303955078,918.0,,CA,CA-QC,Matagami,no,CYNM,YNM,CYNM,,,https://en.wikipedia.org/wiki/Matagami_Airport,
1830,CYNN,medium_airport,Nejanilini Lake Airport,59.4874992371,-97.7802963257,1000.0,,CA,CA-MB,Nejanilini Lake,no,,,CYNN,,,https://en.wikipedia.org/wiki/Nejanilini_Lake_Airport,
1832,CYOA,medium_airport,Ekati Airport,64.6988983154,-110.614997864,1536.0,,CA,CA-NT,Ekati,no,CYOA,YOA,CYOA,,,https://en.wikipedia.org/wiki/Ekati_Airport,YOA
1834,CYOD,medium_airport,CFB Cold Lake,54.40499877929688,-110.27899932861328,1775.0,,CA,CA-AB,Cold Lake,no,CYOD,YOD,CYOD,,,https://en.wikipedia.org/wiki/CFB_Cold_Lake,
1836,CYOJ,medium_airport,High Level Airport,58.62139892578125,-117.16500091552734,1110.0,,CA,CA-AB,High Level,yes,CYOJ,YOJ,CYOJ,,,https://en.wikipedia.org/wiki/High_Level_Airport,
1837,CYOO,medium_airport,Oshawa Executive Airport,43.922798,-78.894997,460.0,,CA,CA-ON,Oshawa,no,CYOO,YOO,CYOO,CYOO,http://www.oshawa-airport.com/,https://en.wikipedia.org/wiki/Oshawa_Airport,
